Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
FRESENIUS MEDICAL CARE WEST COLUMBIA,422550,,,,105 SUM-MOR DRIVE,,WEST COLUMBIA,SC,29169,6,8,2%,54,3%,65,Achievement,10,100%,55,100%,64,Achievement,1,43%,644,36%,700,Improvement,4,16%,612,18%,506,Achievement,3%,10,10,10,73%,No reduction,10/18/1993,FRESENIUS MEDICAL CARE,05/19/2010
DCI UNION,422552,,,,315 THOMPSON BOULEVARD,,UNION,SC,29379,6,10,0%,47,2%,50,Achievement,10,100%,51,100%,49,Achievement,4,56%,585,48%,541,Achievement,10,3%,572,3%,387,Achievement,7%,10,10,10,91%,No reduction,09/07/1994,"DIALYSIS CLINIC, INC.",05/25/1999
DCI GAFFNEY,422553,,,,405 TIFFANY PARK,,GAFFNEY,SC,29341,6,10,0%,75,1%,81,Achievement,8,99%,74,96%,79,Achievement,5,61%,886,50%,907,Achievement,10,3%,865,9%,644,Achievement,8%,10,10,10,88%,No reduction,09/21/1994,"DIALYSIS CLINIC, INC.",07/21/2007
RAI CARE CENTERS SUMMERVILLE,422556,,,,109 BURTON AVENUE,SUITE A,SUMMERVILLE,SC,29485,6,10,0%,50,0%,57,Achievement,10,100%,55,100%,56,Achievement,7,66%,658,49%,586,Achievement,5,14%,624,13%,406,Achievement,6%,10,10,10,88%,No reduction,09/29/1995,RENAL ADVANTAGE,11/05/2005
ALLENDALE COUNTY DIALYSIS,422557,,,,202 NORTH HAMPTON AVENUE,,FAIRFAX,SC,29827,6,8,2%,41,19%,43,Achievement,7,98%,44,100%,43,Achievement,4,57%,482,50%,495,Achievement,10,5%,465,7%,359,Achievement,7%,10,10,10,76%,No reduction,11/03/1995,DAVITA,10/06/2005
DCI WEST SPARTANBURG,422560,,,,105 TRADD STREET,,SPARTANBURG,SC,29301,6,10,0%,66,3%,60,Achievement,7,98%,62,100%,59,Achievement,6,63%,748,50%,661,Achievement,8,8%,715,10%,465,Achievement,7%,10,10,10,82%,No reduction,03/18/1996,"DIALYSIS CLINIC, INC.",01/06/2006
DCI MAGNOLIA COURT,422563,,,,1427 KING STREET,,CHARLESTON,SC,29403,6,10,0%,86,5%,99,Achievement,5,97%,60,97%,68,Achievement,6,64%,676,58%,773,Achievement,7,11%,656,15%,562,Achievement,7%,10,10,10,76%,No reduction,11/13/1996,"DIALYSIS CLINIC, INC.",11/02/2005
FRESENIUS MEDICAL CARE LOWER RICHLAND,422564,,,,1840 PINEVIEW DRIVE,,COLUMBIA,SC,29209,6,10,0%,61,2%,63,Achievement,10,100%,66,100%,68,Achievement,1,47%,738,47%,712,Achievement,8,8%,686,10%,498,Achievement,5%,10,10,10,85%,No reduction,02/21/1997,FRESENIUS MEDICAL CARE,12/02/2008
SOUTH ORANGEBURG DIALYSIS,422565,,,,1080 SUMMERS AVENUE,,ORANGEBURG,SC,29115,6,10,0%,37,0%,88,Achievement,10,100%,41,100%,65,Achievement,0,43%,476,41%,717,Achievement,10,4%,501,4%,522,Achievement,5%,10,10,10,85%,No reduction,03/12/1997,DAVITA,04/07/2007
FRESENIUS MEDICAL CARE OF LEE COUNTY,422566,,,,289 FAIRVIEW AVENUE,,BISHOPVILLE,SC,29010,6,10,0%,43,8%,39,Achievement,7,98%,47,100%,40,Achievement,0,38%,494,47%,449,Achievement,3,18%,446,8%,308,Achievement,2%,10,10,10,67%,No reduction,06/30/1997,FRESENIUS MEDICAL CARE,05/03/2007
RCG GREENVILLE DIALYSIS CENTER,422567,,,,605 SOUTH ACADEMY STREET,,GREENVILLE,SC,29601,6,9,1%,78,7%,136,Achievement,10,100%,79,98%,116,Achievement,0,44%,884,43%,1227,Achievement,10,5%,831,6%,817,Achievement,5%,10,10,10,82%,No reduction,08/07/1997,DAVITA,05/02/2010
DCI JAMES ISLAND,422568,,,,959 FOLLY ROAD,,CHARLESTON,SC,29412,6,10,0%,36,5%,40,Achievement,5,97%,34,100%,38,Achievement,3,53%,390,45%,434,Achievement,9,6%,362,9%,307,Achievement,6%,10,10,10,73%,No reduction,03/18/1999,"DIALYSIS CLINIC, INC.",03/13/2010
FMC DIALYSIS SERVICES NORTH MYRTLE BEACH,422569,,,,710 A HIGHWAY 17 SOUTH,,NORTH MYRTLE BEACH,SC,29582,6,10,0%,37,7%,54,Achievement,10,100%,42,100%,43,Achievement,7,65%,521,64%,482,Achievement,10,1%,462,4%,338,Achievement,9%,10,10,10,97%,No reduction,03/31/1999,FRESENIUS MEDICAL CARE,08/24/1999
FMC DIALYSIS SERVICES THE MARSHLANDS,422570,,,,28 RICE POND ROAD,,RIDGELAND,SC,29936,6,10,0%,41,2%,46,Achievement,5,97%,36,100%,38,Achievement,6,64%,427,50%,424,Achievement,10,4%,394,9%,299,Achievement,8%,10,10,10,79%,No reduction,05/06/1999,FRESENIUS MEDICAL CARE,05/19/2007
FMC DIALYSIS SERVICES MURRELLS INLET,422571,,,,5011 HIGHWAY 17 BYPASS,,MURRELLS INLET,SC,29576,6,10,0%,48,6%,51,Achievement,10,100%,44,98%,51,Achievement,6,64%,533,61%,532,Achievement,9,6%,481,11%,352,Achievement,8%,10,10,10,94%,No reduction,06/30/1999,FRESENIUS MEDICAL CARE,08/24/1999
FMC MEADOWLAKE DIALYSIS,422572,,,,7631 WILSON BOULEVARD,,COLUMBIA,SC,29203,6,8,2%,59,16%,61,Achievement,10,100%,65,98%,61,Achievement,0,28%,709,30%,670,Achievement,9,7%,659,9%,478,Achievement,5%,10,10,10,79%,No reduction,02/17/2000,FRESENIUS MEDICAL CARE,03/30/2000
FMC DIALYSIS SERVICES LAKE MARION,422573,,,,20 BUFF BOULEVARD,,SUMMERTON,SC,29148,6,7,3%,32,0%,29,Achievement,10,100%,35,100%,30,Achievement,0,36%,361,43%,320,Achievement,7,11%,339,11%,227,Achievement,4%,10,10,10,73%,No reduction,03/09/2000,FRESENIUS MEDICAL CARE,01/27/2007
FREEDOM DIALYSIS CENTER,422574,,,,1520 FREEDOM BOULEVARD,,FLORENCE,SC,29505,6,10,0%,100,7%,105,Achievement,8,99%,68,98%,62,Achievement,1,40%,780,33%,723,Improvement,9,6%,738,12%,512,Achievement,5%,10,10,10,79%,No reduction,04/05/2000,FRESENIUS MEDICAL CARE,11/05/2005
RAI CARE CENTERS CHARLESTON,422575,,,,2080 CHARLIE HALL BOULEVARD,,CHARLESTON,SC,29414,6,10,0%,109,1%,128,Achievement,10,100%,79,95%,84,Achievement,0,45%,1090,46%,1095,Achievement,4,16%,1058,16%,788,Achievement,2%,10,10,10,76%,No reduction,05/17/2000,RENAL ADVANTAGE,12/28/2006
PEE DEE DIALYSIS CENTER,422576,,,,331 ELIZABETH ANNE COURT,,LAKE CITY,SC,29560,6,7,4%,73,14%,80,Improvement,8,99%,79,99%,78,Achievement,0,41%,905,41%,923,Achievement,8,8%,853,7%,654,Achievement,4%,10,10,10,67%,No reduction,06/08/2000,FRESENIUS MEDICAL CARE,04/26/2000
DIALYSIS CLINIC INC LANDRUM,422577,,,,110 ASBURY DRIVE,,LANDRUM,SC,29356,6,10,0%,14,8%,13,Achievement,10,100%,16,100%,13,Achievement,0,34%,179,43%,165,Achievement,8,8%,164,4%,120,Achievement,4%,10,10,10,82%,No reduction,07/13/2000,"DIALYSIS CLINIC, INC.",11/03/2005
PALMETTO DIALYSIS,422578,,,,317 PROFESSIONAL PARK ROAD,,CLINTON,SC,29325,6,9,1%,79,6%,90,Achievement,8,99%,84,98%,89,Achievement,2,52%,962,52%,1010,Achievement,10,5%,930,4%,714,Achievement,6%,10,10,10,79%,No reduction,01/23/2001,DAVITA,05/11/2010
DSI PLEASANTBURG DIALYSIS,422579,,,,110 CHALMERS DRIVE SUITE C,,GREENVILLE,SC,29605,6,10,0%,38,23%,52,Achievement,10,100%,36,100%,34,Achievement,2,51%,436,49%,314,Achievement,10,2%,407,3%,116,Achievement,6%,10,10,10,88%,No reduction,03/01/2001,INDEPENDENT,02/02/2011
FMC DIALYSIS SERVICES ANDREWS,422580,,,,102 SOUTH COUNTY LINE ROAD,,ANDREWS,SC,29510,6,10,0%,33,0%,39,Achievement,10,100%,37,98%,41,Achievement,6,64%,411,47%,481,Achievement,10,1%,402,3%,349,Achievement,8%,10,10,10,94%,No reduction,05/15/2001,FRESENIUS MEDICAL CARE,05/12/2001
FRESENIUS MEDICAL CARE FAIRFIELD COUNTY,422581,,,,1126 HIGHWAY 321 BUSINESS SOUTH SUITE A,,WINNSBORO,SC,29180,6,10,0%,31,5%,42,Achievement,5,97%,35,98%,40,Achievement,5,61%,407,56%,444,Achievement,10,3%,393,5%,311,Achievement,8%,10,10,10,79%,No reduction,06/07/2001,FRESENIUS MEDICAL CARE,01/17/2007
FRESENIUS MEDICAL CARE IRMO,422582,,,,1012 LYKES LANE,,IRMO,SC,29063,6,10,0%,59,11%,61,Achievement,7,98%,59,98%,55,Achievement,0,35%,692,34%,548,Achievement,5,15%,615,20%,364,Achievement,3%,10,10,10,70%,No reduction,07/17/2001,FRESENIUS MEDICAL CARE,12/02/2008
DSI POWDERHORN DIALYSIS,422584,,,,16 POWDERHORN ROAD,,SIMPSONVILLE,SC,29681,6,10,0%,54,10%,79,Achievement,10,100%,55,94%,71,Achievement,3,53%,654,54%,681,Achievement,10,3%,621,3%,441,Achievement,7%,10,10,10,91%,No reduction,01/17/2002,DIVERSIFIED SPECIALTY INSTITUTES (DSI),05/02/2010
NORTH CHARLESTON DIALYSIS,422585,,,,5900 RIVERS AVENUE SUITE EAST,,CHARLESTON,SC,29406,6,10,0%,58,5%,60,Achievement,10,100%,43,100%,49,Achievement,2,50%,450,51%,492,Achievement,8,9%,419,15%,343,Achievement,5%,10,10,10,85%,No reduction,01/24/2002,DAVITA,08/25/2009
FMC DIALYSIS SERVICES OF HARTSVILLE,422586,,,,1308 SOUTH FOURTH STREET,,HARTSVILLE,SC,29550,6,6,4%,57,10%,60,Achievement,5,97%,60,97%,60,Achievement,4,58%,727,51%,675,Achievement,4,17%,655,16%,478,Achievement,4%,10,10,10,55%,No reduction,09/18/2002,FRESENIUS MEDICAL CARE,10/28/2005
COLUMBIA NORTHEAST KIDNEY CENTER,422587,,,,7499 PARKLAND ROAD,Suite 136,COLUMBIA,SC,29203,6,10,0%,47,13%,54,Achievement,10,100%,54,96%,52,Achievement,2,51%,609,49%,557,Achievement,7,11%,567,6%,389,Achievement,5%,10,10,10,85%,No reduction,10/15/2002,AMERICAN RENAL ASSOCIATES,12/02/2010
FMC DIALYSIS SERVICES OF YORK COUNTY,422589,,,,1560 HEALTH CARE DRIVE,,ROCK HILL,SC,29732,6,8,2%,51,2%,55,Achievement,7,98%,49,98%,55,Achievement,8,69%,559,67%,605,Achievement,10,5%,510,7%,436,Achievement,9%,10,10,10,82%,No reduction,05/20/2003,FRESENIUS MEDICAL CARE,02/13/2007
DCI PORT ROYAL,422590,,,,300 MIDTOWN DRIVE,ATTN: DIALYSIS UNIT,BEAUFORT,SC,29906,6,10,0%,61,0%,72,Achievement,10,100%,59,100%,72,Achievement,6,62%,695,54%,836,Achievement,9,7%,652,21%,602,Achievement,8%,10,10,10,94%,No reduction,06/18/2003,"DIALYSIS CLINIC, INC.",02/06/2010
ORANGEBURG DIALYSIS,422591,,,,1184 ORANGEBURG MALL CIRCLE,,ORANGEBURG,SC,29115,6,10,0%,49,2%,64,Achievement,10,100%,52,93%,61,Achievement,1,40%,610,34%,675,Improvement,9,7%,597,13%,477,Achievement,5%,0,10,0,78%,No reduction,06/17/2003,RENAL ADVANTAGE,02/02/2010
PAGELAND DIALYSIS,422592,,,,505 A SOUTH PEARL STREET,,PAGELAND,SC,29728,6,10,0%,26,3%,30,Achievement,10,100%,29,100%,28,Achievement,10,79%,344,73%,340,Achievement,10,2%,319,2%,242,Achievement,10%,10,10,0,97%,No reduction,09/11/2003,DAVITA,03/20/2009
NRA HOLLY HILL DIALYSIS CENTER,422593,,,,8532 OLD STATE ROAD,,HOLLY HILL,SC,29059,6,10,0%,44,2%,48,Achievement,7,98%,51,100%,50,Achievement,0,39%,590,42%,551,Achievement,6,13%,566,11%,385,Achievement,3%,10,10,10,70%,No reduction,10/14/2003,RENAL ADVANTAGE,02/02/2010
BAMBERG DIALYSIS,422594,,,,2046 MAIN HIGHWAY,,BAMBERG,SC,29003,6,10,0%,71,0%,41,Achievement,8,99%,73,93%,40,Achievement,3,54%,816,58%,469,Achievement,8,9%,771,14%,324,Achievement,6%,10,10,10,82%,No reduction,10/23/2003,RENAL ADVANTAGE,06/03/2011
CHARLESTON RENAL CARE LLC GOOSE CREEK,422596,,,,109 GREENLAND DRIVE,,GOOSE CREEK,SC,29445,6,8,2%,42,12%,49,Achievement,10,100%,40,100%,47,Achievement,2,52%,444,53%,511,Achievement,7,10%,392,12%,358,Achievement,5%,10,10,0,76%,No reduction,05/19/2004,DAVITA,10/02/2005
DAVITA PENDLETON DIALYSIS,422597,,,,7703 HIGHWAY 76,,PENDLETON,SC,29670,6,10,0%,22,0%,25,Achievement,10,100%,26,100%,26,Achievement,5,59%,290,61%,285,Achievement,10,0%,269,1%,204,Achievement,8%,10,10,10,94%,No reduction,12/16/2004,DAVITA,01/12/2007
FABER PLACE DIALYSIS,422598,,,,3801 FABER PLACE DRIVE,,CHARLESTON,SC,29405,6,10,0%,52,2%,57,Achievement,10,100%,48,96%,56,Achievement,0,43%,542,41%,606,Achievement,4,16%,503,13%,428,Achievement,2%,10,10,0,73%,No reduction,02/09/2005,DAVITA,12/29/2006
FRESENIUS MEDICAL SERVICES OF PENDLETON,422599,,,,908 SOUTH MECHANIC STREET,,PENDLETON,SC,29670,6,5,5%,19,4%,24,Achievement,10,100%,23,100%,26,Achievement,2,50%,244,62%,295,Achievement,10,0%,236,0%,213,Achievement,6%,10,10,10,73%,No reduction,03/23/2005,FRESENIUS MEDICAL CARE,01/02/2005
FMC SERVICES OF BELTON HONEA PATH,422600,,,,200 CHURCH STREET,,HONEA PATH,SC,29654,6,10,0%,34,0%,30,Achievement,10,100%,36,97%,30,Achievement,0,44%,411,45%,338,Achievement,10,2%,396,7%,248,Achievement,5%,10,10,10,85%,No reduction,07/27/2005,FRESENIUS MEDICAL CARE,07/28/2005
MT PLEASANT DIALYSIS CENTER,422601,,,,1028 E-WALL STREET,BUILDING A3,MOUNT PLEASANT,SC,29464,6,10,0%,35,0%,55,Achievement,10,100%,38,94%,52,Achievement,0,38%,457,45%,564,Achievement,3,19%,438,17%,390,Achievement,2%,0,10,0,69%,No reduction,09/21/2005,RENAL ADVANTAGE,02/02/2010
DCA EDGEFIELD,422602,,,,306 MAIN STREET,,EDGEFIELD,SC,29824,6,10,0%,27,10%,30,Achievement,10,100%,28,90%,29,Achievement,2,51%,322,46%,333,Achievement,10,4%,305,6%,237,Achievement,6%,10,10,10,88%,No reduction,03/20/2006,OTHER CHAIN(number of facilities <20 ),06/04/2010
FRESENIUS MEDICAL CARE OF BATESBURG LEESVILLE,422603,,,,303 VILLAGE SQUARE DRIVE,,LEESVILLE,SC,29070,6,10,0%,38,7%,45,Achievement,10,100%,43,100%,45,Achievement,0,35%,535,39%,510,Achievement,10,5%,504,13%,359,Achievement,5%,10,10,10,85%,No reduction,03/22/2006,FRESENIUS MEDICAL CARE,01/25/2010
DCA OF AIKEN II LLC,422604,,,,169 CREPE MYRTLE DRIVE,,AIKEN,SC,29803,6,10,0%,69,10%,59,Achievement,10,100%,50,100%,44,Achievement,6,62%,556,49%,512,Achievement,10,4%,543,11%,365,Achievement,8%,10,10,10,94%,No reduction,04/12/2006,OTHER CHAIN(number of facilities <20 ),06/04/2010
FRESENIUS MEDICAL CARE OF LUGOFF ELGIN,422605,,,,909 CAROLINA DRIVE,,LUGOFF,SC,29078,6,10,0%,31,18%,38,Achievement,10,100%,36,100%,39,Achievement,0,36%,402,47%,417,Achievement,7,10%,366,7%,307,Achievement,4%,10,10,10,82%,No reduction,07/29/2006,FRESENIUS MEDICAL CARE,04/27/2007
HOLLYWOOD RAVENEL DIALYSIS CLINC,422606,,,,5953 JACOBS POINT BOULEVARD,,RAVENEL,SC,29470,6,10,0%,45,0%,46,Achievement,10,100%,48,100%,45,Achievement,3,55%,544,56%,498,Achievement,10,2%,518,6%,356,Achievement,7%,10,10,10,91%,No reduction,05/09/2006,RENAL ADVANTAGE,08/09/2010
RIVER VIEW KIDNEY CENTER,422607,,,,540 ATOMIC ROAD,,NORTH AUGUSTA,SC,29841,6,10,0%,48,2%,47,Achievement,10,100%,47,100%,44,Achievement,3,55%,576,50%,523,Achievement,7,10%,525,6%,368,Achievement,5%,10,10,10,85%,No reduction,10/27/2006,RENAL ADVANTAGE,02/07/2007
CAROLINA DIALYSIS LLC,422608,,,,115 INTERSTATE PARK,,SPARTANBURG,SC,29303,6,10,0%,50,0%,63,Achievement,7,98%,51,100%,56,Achievement,6,63%,569,63%,648,Achievement,10,4%,549,1%,474,Achievement,8%,10,10,10,85%,No reduction,11/16/2006,AMERICAN RENAL ASSOCIATES,10/02/2010
FORT MILL DIALYSIS,422609,,,,1975 CAROLINA PLACE DRIVE,,FORT MILL,SC,29708,6,10,0%,29,3%,34,Achievement,5,97%,33,100%,33,Achievement,9,73%,367,69%,334,Achievement,8,8%,341,7%,214,Achievement,9%,10,10,0,79%,No reduction,10/27/2006,DAVITA,10/28/2006
MYRTLE BEACH DIALYSIS,422610,,,,3919 MAYFAIR STREET,,MYRTLE BEACH,SC,29577,6,10,0%,46,13%,54,Achievement,10,100%,59,100%,52,Achievement,10,75%,634,72%,608,Achievement,10,5%,578,4%,420,Achievement,10%,10,10,0,97%,No reduction,10/27/2006,DAVITA,01/06/2007
GREER SOUTH DIALYSIS,422611,,,,3254 BRUSHY CREEK ROAD,,GREER,SC,29650,6,10,0%,57,6%,68,Achievement,5,97%,66,100%,73,Achievement,7,65%,733,67%,630,Achievement,9,6%,673,5%,408,Achievement,8%,10,10,10,79%,No reduction,10/24/2006,DAVITA,05/02/2010
DCI GOOSE CREEK INC,422612,,,,98 HAMLET CIRCLE,,GOOSE CREEK,SC,29445,6,10,0%,38,9%,33,Achievement,10,100%,38,97%,36,Achievement,1,48%,428,43%,398,Achievement,2,26%,396,32%,279,Improvement,2%,10,10,10,76%,No reduction,12/01/2006,"DIALYSIS CLINIC, INC.",01/28/2007
FRESENIUS OF YORK,422613,,,,1440 EAST ALEXANDER LOVE HIGHWAY,,YORK,SC,29745,6,10,0%,36,0%,41,Achievement,10,100%,41,92%,39,Achievement,10,80%,443,75%,436,Achievement,10,5%,416,9%,301,Achievement,10%,10,10,10,100%,No reduction,10/09/2007,FRESENIUS MEDICAL CARE,10/10/2007
FRESENIUS MEDICAL CARE CHERAW,422614,,,,104 GRACE LANE,,CHERAW,SC,29520,6,10,0%,68,3%,69,Achievement,4,96%,77,99%,67,Achievement,1,45%,895,40%,798,Improvement,7,11%,856,10%,576,Achievement,4%,10,10,10,64%,No reduction,01/18/2008,FRESENIUS MEDICAL CARE,01/19/2008
DCA BARNWELL,422615,,,,10708 MARLBORO AVENUE,,BARNWELL,SC,29812,6,10,0%,33,10%,31,Achievement,10,100%,31,97%,32,Achievement,0,34%,383,33%,343,Achievement,6,13%,341,15%,241,Achievement,3%,10,10,10,79%,No reduction,02/13/2008,OTHER CHAIN(number of facilities <20 ),06/04/2010
FMC FOUNTAIN INN / GRAY COURT,422616,,,,289 CHAPMAN ROAD,,FOUNTAIN INN,SC,29644,6,10,0%,31,2%,47,Achievement,10,100%,32,98%,50,Achievement,2,42%,348,34%,337,Improvement,10,1%,308,1%,187,Achievement,6%,10,10,10,88%,No reduction,01/22/2008,DAVITA,05/02/2010
FRESENIUS MEDICAL CARE CHURCH STREET,422617,,,,406 SOUTH CHURCH STREET,,FLORENCE,SC,29501,6,10,0%,64,16%,67,Achievement,5,97%,68,98%,61,Achievement,4,50%,709,32%,717,Improvement,6,13%,658,28%,494,Achievement,5%,10,10,10,70%,No reduction,03/27/2008,FRESENIUS MEDICAL CARE,03/28/2008
FRESENIUS MEDICAL CARE JOHNSONVILLE,422618,,,,200 STUCKEY STREET,,JOHNSONVILLE,SC,29555,6,10,0%,34,3%,34,Achievement,10,100%,33,100%,33,Achievement,1,38%,356,32%,383,Improvement,6,13%,335,15%,265,Achievement,4%,10,10,10,82%,No reduction,07/21/2008,FRESENIUS MEDICAL CARE,07/16/2009
FRESENIUS MEDICAL CARE WEST CONWAY,422619,,,,1702 MILLPOND ROAD,,CONWAY,SC,29527,6,10,0%,50,10%,40,Achievement,7,98%,47,97%,38,Achievement,5,59%,530,58%,422,Achievement,10,4%,480,2%,308,Achievement,8%,10,10,10,85%,No reduction,10/16/2008,FRESENIUS MEDICAL CARE,09/11/2008
JEDBURG DIALYSIS,422620,,,,2897 WEST 5TH NORTH STREET,,SUMMERVILLE,SC,29483,6,10,0%,50,0%,51,Achievement,7,98%,48,98%,43,Achievement,4,56%,609,63%,525,Achievement,6,13%,566,4%,356,Achievement,5%,10,10,10,76%,No reduction,01/12/2009,DAVITA,01/13/2009
FRESENIUS MEDICAL CARE FORT LAWN,422621,,,,5707 WILLOWBROOK STREET,,FORT LAWN,SC,29714,6,10,0%,33,3%,29,Achievement,10,100%,29,100%,27,Achievement,10,84%,372,84%,303,Achievement,10,4%,345,4%,216,Achievement,10%,10,10,10,100%,No reduction,04/07/2009,FRESENIUS MEDICAL CARE,04/03/2011
DAVITA LONGS DIALYSIS,422622,,,,90 CLOVERLEAF DRIVE SUITE 306,,LONGS,SC,29568,6,10,0%,18,7%,14,Achievement,10,100%,21,100%,11,Achievement,6,62%,215,55%,137,Achievement,4,17%,187,0%,91,Achievement,5%,10,10,10,85%,No reduction,04/14/2009,DAVITA,04/15/2009
FRESENIUS MEDICAL CARE MYRTLE BEACH,422623,,,,4592 OLEANDER DRIVE,,MYRTLE BEACH,SC,29577,6,7,3%,34,5%,20,Achievement,5,97%,29,100%,17,Achievement,7,65%,350,76%,201,Achievement,6,12%,294,7%,136,Achievement,7%,10,10,10,67%,No reduction,06/30/2009,FRESENIUS MEDICAL CARE,04/15/2011
DIALYSIS CLINIC INC-SALUDA,422624,,,,301 WEST BUTLER AVENUE,,SALUDA,SC,29138,6,10,0%,19,0%,15,Achievement,10,100%,19,100%,15,Achievement,5,59%,202,46%,179,Achievement,10,3%,196,2%,131,Achievement,8%,10,10,10,94%,No reduction,12/04/2009,"DIALYSIS CLINIC, INC.",12/05/2009
FMC WINYAH,422625,,,,2623 SOUTH FRASER STREET,,GEORGETOWN,SC,29440,6,10,0%,32,0%,23,Achievement,10,100%,32,100%,23,Achievement,2,48%,338,39%,240,Improvement,10,0%,325,14%,174,Achievement,6%,10,10,10,88%,No reduction,12/30/2009,FRESENIUS MEDICAL CARE,12/31/2009
RIDGELAND DIALYSIS,422626,,,,112 WEATHERSBEE STREET,,RIDGELAND,SC,29936,6,6,4%,23,0%,15,Achievement,10,100%,20,100%,13,Achievement,6,63%,224,50%,134,Achievement,10,5%,205,8%,87,Achievement,8%,10,10,0,79%,No reduction,02/03/2010,DAVITA,03/12/2010
FRESENIUS MEDICAL CARE COLUMBIA HOME,422627,,,,121 PARK CENTRAL DRIVE,,COLUMBIA,SC,29203,6,8,2%,59,,3,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,12,Insufficient data,0,N/A,N/A,Insufficient data,13,Insufficient data,0,N/A,N/A,10,N/A,10,82%,No reduction,10/25/2010,FRESENIUS MEDICAL CARE,04/03/2011
ABBEVILLE DIALYSIS,422628,,,,904 WEST GREENWOOD STREET,,ABBEVILLE,SC,29620,6,10,0%,32,8%,13,Achievement,10,100%,33,100%,17,Achievement,4,56%,373,42%,97,Achievement,10,2%,345,0%,46,Achievement,7%,10,10,10,91%,No reduction,12/17/2010,DAVITA,12/21/2011
NORTH MAIN KIDNEY CENTER,422629,,,,3900 NORTH MAIN STREET,,COLUMBIA,SC,29203,6,10,0%,26,,9,Achievement,10,100%,24,100%,12,Achievement,0,20%,296,15%,52,Achievement,8,8%,279,8%,13,Achievement,4%,10,10,10,82%,No reduction,01/07/2011,AMERICAN RENAL ASSOCIATES,01/20/2011
FRESENIUS MEDICAL CARE CHARLESTON COUNTY,422630,,,,901 VON KOLNITZ ROAD,,MOUNT PLEASANT,SC,29464,6,10,0%,28,19%,16,Achievement,10,100%,28,100%,18,Achievement,2,50%,282,59%,81,Achievement,6,13%,270,10%,31,Achievement,4%,10,10,10,82%,No reduction,02/02/2011,FRESENIUS MEDICAL CARE,02/03/2011
DSI HOME DIALYSIS PLEASANTBURG,422631,,,,"110 CHALMERS ROAD, SUITE D",,GREENVILLE,SC,29605,6,10,0%,18,,0,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,15,Insufficient data,0,N/A,N/A,Insufficient data,9,Insufficient data,0,N/A,N/A,10,N/A,10,100%,No reduction,11/04/2011,INDEPENDENT,11/05/2011
"POINTE DIALYSIS, LLC",422632,,,,1964 ASHLEY RIVER ROAD,Suite D-3,CHARLESTON,SC,29407,6,N/A,,10,,0,N/A,N/A,,10,,0,N/A,6,63%,83,Insufficient data,0,Achievement,10,0%,40,Insufficient data,0,Achievement,8%,10,10,0,79%,No reduction,05/23/2012,DAVITA,06/29/2012
"COAST DIALYSIS, LLC",422633,,,,1964 ASHLEY RIVER ROAD,SUITE D-2,CHARLESTON,SC,29407,6,N/A,,1,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,05/22/2012,DAVITA,07/27/2012
"SPARTANBURG DIALYSIS, LLC",422634,,,,128 DILLON DRIVE,,SPARTANBURG,SC,29307,6,N/A,,3,,0,N/A,N/A,,5,,0,N/A,0,43%,83,Insufficient data,0,Achievement,2,21%,43,Insufficient data,0,Achievement,1%,10,10,10,19%,2.0%,05/16/2012,AMERICAN RENAL ASSOCIATES,02/07/2012
KEOWEE DIALYSIS CENTER LLC,422635,,,,537 HIGHWAY 123,,SENECA,SC,29678,6,N/A,,9,,0,N/A,10,100%,13,,0,Achievement,10,77%,64,Insufficient data,0,Achievement,6,13%,16,Insufficient data,0,Achievement,8%,10,10,10,91%,No reduction,09/07/2012,AMERICAN RENAL ASSOCIATES,09/25/2012
DCI ARCHDALE,422636,,,,5300 ARCHDALE BOULEVARD,,CHARLESTON,SC,29418,6,10,0%,15,,0,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,12,Insufficient data,0,N/A,N/A,Insufficient data,3,Insufficient data,0,N/A,N/A,10,10,10,100%,No reduction,08/29/2012,"DIALYSIS CLINIC, INC.",01/26/2012
